contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250430C00300000,2025-04-10 16:51:31+00:00,300.0,221.08,241.12,243.65,0.0,0.0,,24,1.6870132836914062,True,REGULAR,USD
SPY250430C00350000,2025-04-11 13:31:17+00:00,350.0,174.88,190.98,193.24,0.0,0.0,,24,1.2793004785156248,True,REGULAR,USD
SPY250430C00375000,2025-04-08 15:12:02+00:00,375.0,144.18,166.35,168.39,0.0,0.0,1.0,79,1.12891060546875,True,REGULAR,USD
SPY250430C00380000,2025-04-07 18:56:08+00:00,380.0,126.26,161.69,163.44,0.0,0.0,1.0,6,1.1101118713378906,True,REGULAR,USD
SPY250430C00385000,2025-03-17 18:44:27+00:00,385.0,185.17,156.74,158.48,0.0,0.0,2.0,0,1.0798385852050782,True,REGULAR,USD
SPY250430C00390000,2025-04-07 14:34:03+00:00,390.0,116.57,151.5,153.5,0.0,0.0,1.0,10,1.0385790258789065,True,REGULAR,USD
SPY250430C00395000,2025-03-17 17:02:36+00:00,395.0,170.35,147.36,147.59,0.0,0.0,2.0,1,1.0037891607666014,True,REGULAR,USD
SPY250430C00400000,2025-04-14 13:36:13+00:00,400.0,143.05,141.99,142.2,13.520004,10.43774,2.0,45,0.9440923559570311,True,REGULAR,USD
SPY250430C00405000,2025-04-07 17:02:57+00:00,405.0,98.85,137.03,137.25,0.0,0.0,2.0,4,0.9157723266601563,True,REGULAR,USD
SPY250430C00410000,2025-04-11 13:31:17+00:00,410.0,116.38,132.27,132.49,0.0,0.0,8.0,28,0.9006357592773437,True,REGULAR,USD
SPY250430C00415000,2025-04-10 13:50:37+00:00,415.0,119.24,127.33,127.54,0.0,0.0,1.0,2,0.8725598681640624,True,REGULAR,USD
SPY250430C00420000,2025-04-04 17:21:02+00:00,420.0,94.45,121.78,122.61,0.0,0.0,8.0,6,0.8256853369140623,True,REGULAR,USD
SPY250430C00425000,2025-04-10 19:42:20+00:00,425.0,100.0,117.23,117.47,0.0,0.0,40.0,26,0.804567384033203,True,REGULAR,USD
